Ref,Val,Package,PosX,PosY,Rot,Side
"D16","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.814315,-57.284314,-90.000000,top
"D16","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.205400,-57.284314,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.074000,-44.284314,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.205400,-44.284314,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",78.945715,-44.284314,-90.000000,top
"D17","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.814315,-44.284314,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.814315,-31.284314,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.074000,-31.284314,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.205400,-31.284314,-90.000000,top
"D18","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",78.945715,-31.284314,-90.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",31.880000,-67.350000,180.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",214.271085,-67.350000,180.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",89.011400,-67.350000,180.000000,top
"D19","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.139685,-67.350000,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",227.271085,-67.350000,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.880000,-67.350000,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",170.139685,-67.350000,180.000000,top
"D20","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.011400,-67.350000,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",183.139685,-67.350000,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.011400,-67.350000,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.880000,-67.350000,180.000000,top
"D21","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",240.271085,-67.350000,180.000000,top
"R1","75R","R_0603_1608Metric",169.809685,-130.540000,0.000000,top
"R1","75R","R_0603_1608Metric",101.681400,-130.540000,0.000000,top
"R1","75R","R_0603_1608Metric",135.747001,-130.540000,0.000000,top
"R1","75R","R_0603_1608Metric",44.550000,-130.540000,0.000000,top
"R1","75R","R_0603_1608Metric",226.941085,-130.540000,0.000000,top
