Ref,Val,Package,PosX,PosY,Rot,Side
"R5","5K1","R_0603_1608Metric",15.367000,-12.192000,0.000000,top
"R6","5K1","R_0603_1608Metric",13.843000,-7.620000,-90.000000,top
"R7","5K1","R_0603_1608Metric",11.684000,-8.509000,90.000000,top
"R8","470R","R_0603_1608Metric",22.860000,-14.224000,0.000000,top
"R9","470R","R_0603_1608Metric",22.860000,-15.748000,0.000000,top
"R10","12K","R_0603_1608Metric",35.496000,-16.967000,180.000000,top
"R11","12K","R_0603_1608Metric",35.496000,-15.367000,180.000000,top
"R13","10K","R_0603_1608Metric",116.840000,-9.525000,-90.000000,top
"R15","10K","R_0603_1608Metric",114.681000,-22.352000,0.000000,top
"R16","10K","R_0603_1608Metric",45.466000,-11.303000,0.000000,top
"R17","10K","R_0603_1608Metric",27.305000,-8.890000,0.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",63.246000,-23.368000,180.000000,top
"U3","DS1302ZN+","SOIC-8_3.9x4.9mm_P1.27mm",149.860000,-14.478000,180.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",107.061000,-31.242000,-90.000000,top
"U5","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",29.000000,-17.400000,0.000000,top
